MC_kts,Spd_kts,LD
0,70,54.9
0.2,72,54.8
0.4,74,54.4
0.6,76,53.9
0.8,78,53.2
1,80,52.2
1.2,83,51.1
1.4,87,49.6
1.6,88,49
1.7,89,48.4
1.9,90,47.8
2.1,91,47.2
2.3,92,46.6
2.5,93,45.9
2.7,94,45.2
2.9,96,44.5
3.1,97,43.8
3.3,98,43
3.5,99,42.3
3.7,100,41.5
3.9,102,40.8
4.1,103,40
4.3,104,39.3
4.5,105,38.5
4.7,106,37.8
4.9,108,37
5.1,109,36.3
5.2,110,35.6
5.4,112,34.9
5.6,113,34.2
5.8,114,33.5
6,116,32.8
6.2,117,32.2
6.4,118,31.5
6.6,120,30.9
6.8,121,30.2
7,123,29.6
7.2,124,29
7.4,126,28.4
7.6,127,27.9
7.8,129,27.3
8,130,26.8
