MC_kts,Spd_kts,LD,sinkrate_kts,
0,69,51.2,-1.34765625,at max gross
0.2,70,51.1,-1.369863014,
0.4,72,50.8,-1.417322835,
0.6,73,50.5,-1.445544554,
0.8,75,49.9,-1.503006012,
1,77,49.2,-1.56504065,
1.2,79,48.4,-1.632231405,
1.4,81,47.5,-1.705263158,
1.6,83,46.7,-1.777301927,
1.7,84,45.8,-1.834061135,
1.9,86,44.9,-1.915367483,
2.1,88,44,-2,
2.3,90,43.1,-2.088167053,
2.5,91,42.2,-2.156398104,
2.7,93,41.4,-2.246376812,
2.9,94,40.6,-2.315270936,
3.1,96,39.8,-2.412060302,
3.3,97,39,-2.487179487,
3.5,98,38.3,-2.558746736,
3.7,100,37.6,-2.659574468,
3.9,101,36.9,-2.737127371,
4.1,102,36.2,-2.817679558,
4.3,104,35.6,-2.921348315,
4.5,105,35,-3,
4.7,106,34.4,-3.081395349,
4.9,107,33.8,-3.165680473,
5.1,108,33.2,-3.253012048,
5.2,109,32.7,-3.333333333,
5.4,111,32.2,-3.447204969,
5.6,112,31.7,-3.533123028,
5.8,113,31.2,-3.621794872,
6,114,30.8,-3.701298701,
6.2,115,30.4,-3.782894737,
6.4,116,29.9,-3.879598662,
6.6,117,29.5,-3.966101695,
6.8,118,29.1,-4.054982818,
7,118.5,28.8,-4.114583333,
7.2,119,28.4,-4.190140845,
7.4,120,28.1,-4.270462633,
7.6,121,27.7,-4.368231047,
7.8,122,27.4,-4.452554745,
8,123,27.1,-4.538745387,
