MC_kts,Spd_kts,LD,,
0,50,38.2,,
0.2,52,38.1,,dry
0.4,53,37.9,,
0.6,54,37.5,,
0.8,56,37.1,,
1,57,36.5,,
1.2,59,35.9,,
1.4,60,35.3,,
1.6,62,34.6,,
1.7,63,33.9,,
1.9,65,33.1,,
2.1,66,32.4,,
2.3,68,31.7,,
2.5,69,31,,
2.7,70,30.3,,
2.9,72,29.6,,
3.1,73,29,,
3.3,74,28.4,,
3.5,75,27.8,,
3.7,76,27.2,,
3.9,78,26.7,,
4.1,79,26.3,,
4.3,79.5,25.9,,
4.5,80,25.6,,
4.7,81,25.3,,
4.9,81.5,24.9,,
5.1,82,24.6,,
5.2,83,24.3,,
5.4,83.5,24,,
5.6,84,23.8,,
5.8,85,23.5,,
6,85.5,23.2,,
6.2,86,23,,
6.4,86.5,22.7,,
6.6,87,22.4,,
6.8,88,22.2,,
