MC_kts,Spd_kts,LD,sinkrate_kts,
0,63,44.6,-1.412556054,at max gross
0.2,64,44.5,-1.438202247,
0.4,65,44.4,-1.463963964,
0.6,66,44.1,-1.496598639,
0.8,68,43.7,-1.556064073,
1,70,43.1,-1.62412993,
1.2,71,42.4,-1.674528302,
1.4,73,41.5,-1.759036145,
1.6,76,40.5,-1.87654321,
1.7,78,39.4,-1.979695431,
1.9,81,38.2,-2.120418848,
2.1,84,37,-2.27027027,
2.3,86,35.9,-2.395543175,
2.5,89,34.8,-2.557471264,
2.7,92,33.9,-2.713864307,
2.9,94,33.1,-2.839879154,
3.1,96,32.4,-2.962962963,
3.3,97,31.9,-3.040752351,
3.5,99,31.4,-3.152866242,
3.7,100,31,-3.225806452,
3.9,100.5,30.7,-3.273615635,
4.1,101,30.5,-3.31147541,
4.3,102,30.3,-3.366336634,
4.5,102.3,30.1,-3.398671096,
4.7,102.6,30,-3.42,
4.9,103,29.8,-3.456375839,
5.1,103.2,29.7,-3.474747475,
5.2,103.5,29.6,-3.496621622,
5.4,103.8,29.6,-3.506756757,
5.6,104.3,29.5,-3.53559322,
5.8,104.6,29.4,-3.557823129,
6,104.9,29.4,-3.568027211,
