MC_kts,Spd_kts,LD,sinkrate_kts,
0,70,48.2,-1.452282158,at max gross
0.2,72,48.1,-1.496881497,
0.4,74,47.8,-1.548117155,
0.6,76,47.4,-1.603375527,
0.8,78,46.9,-1.663113006,
1,80,46.2,-1.731601732,
1.2,83,45.4,-1.828193833,
1.4,85,44.5,-1.91011236,
1.6,86,44.1,-1.950113379,
1.7,87,43.6,-1.995412844,
1.9,88,43.1,-2.041763341,
2.1,89,42.6,-2.089201878,
2.3,90,42,-2.142857143,
2.5,91,41.4,-2.198067633,
2.7,92,40.8,-2.254901961,
2.9,94,40.2,-2.338308458,
3.1,95,39.5,-2.405063291,
3.3,96,38.8,-2.474226804,
3.5,97,38.1,-2.545931759,
3.7,98,37.3,-2.627345845,
3.9,100,36.6,-2.732240437,
4.1,101,35.9,-2.813370474,
4.3,102,35.1,-2.905982906,
4.5,103,34.3,-3.002915452,
4.7,104,33.6,-3.095238095,
4.9,106,32.8,-3.231707317,
5.1,107,31.9,-3.354231975,
5.2,108,31.1,-3.47266881,
5.4,110,30.3,-3.630363036,
5.6,111,29.3,-3.788395904,
5.8,112,28.8,-3.888888889,
6,114,28.4,-4.014084507,
6.2,115,28,-4.107142857,
6.4,116,27.6,-4.202898551,
6.6,118,27.1,-4.354243542,
6.8,119,26.7,-4.456928839,
7,121,26.3,-4.600760456,
7.2,122,25.9,-4.71042471,
7.4,124,25.4,-4.881889764,
7.6,125,25,-5,
7.8,127,24.6,-5.162601626,
8,128,24,-5.333333333,
