MC_kts,Spd_kts,LD,sinkrate_kts,
0,70,54.9,-1.275045537,at max gross
0.2,72,54.8,-1.313868613,
0.4,74,54.4,-1.360294118,
0.6,76,53.9,-1.410018553,
0.8,78,53.2,-1.466165414,
1,80,52.2,-1.53256705,
1.2,83,51.1,-1.624266145,
1.4,87,49.6,-1.754032258,
1.6,88,49,-1.795918367,
1.7,89,48.4,-1.838842975,
1.9,90,47.8,-1.882845188,
2.1,91,47.2,-1.927966102,
2.3,92,46.6,-1.974248927,
2.5,93,45.9,-2.026143791,
2.7,94,45.2,-2.079646018,
2.9,96,44.5,-2.157303371,
3.1,97,43.8,-2.214611872,
3.3,98,43,-2.279069767,
3.5,99,42.3,-2.340425532,
3.7,100,41.5,-2.409638554,
3.9,102,40.8,-2.5,
4.1,103,40,-2.575,
4.3,104,39.3,-2.646310433,
4.5,105,38.5,-2.727272727,
4.7,106,37.8,-2.804232804,
4.9,108,37,-2.918918919,
5.1,109,36.3,-3.002754821,
5.2,110,35.6,-3.08988764,
5.4,112,34.9,-3.209169054,
5.6,113,34.2,-3.304093567,
5.8,114,33.5,-3.402985075,
6,116,32.8,-3.536585366,
6.2,117,32.2,-3.633540373,
6.4,118,31.5,-3.746031746,
6.6,120,30.9,-3.883495146,
6.8,121,30.2,-4.006622517,
7,123,29.6,-4.155405405,
7.2,124,29,-4.275862069,
7.4,126,28.4,-4.436619718,
7.6,127,27.9,-4.551971326,
7.8,129,27.3,-4.725274725,
8,130,26.8,-4.850746269,
