MC_kts,Spd_kts,LD,sinkrate_kts,
0,52,40.1,-1.296758105,
0.2,53,40,-1.325,dry
0.4,56,39.6,-1.414141414,
0.6,58,39.1,-1.483375959,
0.8,59,38.6,-1.528497409,
1,61,38,-1.605263158,
1.2,63,37.4,-1.684491979,
1.4,64,36.8,-1.739130435,
1.6,65,36.1,-1.800554017,
1.7,67,35.5,-1.887323944,
1.9,68,34.9,-1.948424069,
2.1,69,34.2,-2.01754386,
2.3,70,33.6,-2.083333333,
2.5,71,33.1,-2.145015106,
2.7,72,32.5,-2.215384615,
2.9,73,32,-2.28125,
3.1,74,31.5,-2.349206349,
3.3,75,31,-2.419354839,
3.5,76,30.5,-2.491803279,
3.7,77,30.1,-2.558139535,
3.9,78,29.7,-2.626262626,
4.1,78.5,29.3,-2.679180887,
4.3,79,28.9,-2.733564014,
4.5,80,28.5,-2.807017544,
4.7,80.5,28.2,-2.854609929,
4.9,81,27.8,-2.913669065,
5.1,81.5,27.5,-2.963636364,
5.2,82,27.2,-3.014705882,
5.4,82.5,26.9,-3.066914498,
5.6,83,26.6,-3.120300752,
5.8,83.5,26.3,-3.174904943,
6,84,25.9,-3.243243243,
6.2,85,25.3,-3.359683794,
6.4,86,24.8,-3.467741935,
6.6,87,24.3,-3.580246914,
6.8,88,24,-3.666666667,
