MC_kts,Spd_kts,LD,,
0,69,43.2,,at max gross
0.2,71,43.1,,
0.4,73,42.9,,
0.6,75,42.7,,
0.8,76,42.3,,
1,78,41.8,,
1.2,80,41.4,,
1.4,82,40.8,,
1.6,83,40.2,,
1.7,85,39.6,,
1.9,86,39,,
2.1,88,38.4,,
2.3,89,37.8,,
2.5,91,37.1,,
2.7,92,36.5,,
2.9,94,35.9,,
3.1,95,35.2,,
3.3,97,34.6,,
3.5,98,34.2,,
3.7,99,33.8,,
3.9,100,33.4,,
4.1,100.5,33,,
4.3,101,32.7,,
4.5,102,32.4,,
4.7,103,32.1,,
4.9,103.5,31.8,,
5.1,104,31.5,,
5.2,104.5,31.2,,
5.4,105,31,,
5.6,105.5,30.7,,
5.8,106,30.5,,
6,107,30.2,,
