MC_kts,Spd_kts,LD,,
0,48,37.2,,
0.2,50,37.1,,dry
0.4,52,36.8,,
0.6,54,36.4,,
0.8,56,35.8,,
1,57,35.2,,
1.2,59,34.5,,
1.4,61,33.9,,
1.6,62,33.3,,
1.7,63,32.7,,
1.9,64,32.2,,
2.1,65,31.7,,
2.3,67,30.9,,
2.5,68,30.3,,
2.7,69,29.7,,
2.9,71,29.1,,
3.1,72,28.6,,
3.3,73,28.1,,
3.5,74,27.6,,
3.7,74.5,27.2,,
3.9,75,26.7,,
4.1,76,26.3,,
4.3,77,25.9,,
4.5,78,25.5,,
4.7,79,25.1,,
4.9,79.5,24.7,,
5.1,80,24.3,,
5.2,81,24,,
5.4,82,23.6,,
5.6,83.5,23.2,,
5.8,84,22.8,,
6,85,22.4,,
6.2,85.5,22.1,,
6.4,86,21.7,,
6.6,87,21.4,,
6.8,88,21.1,,
