MC_kts,Spd_kts,LD,sinkrate_kts,
0,70,50.2,-1.394422311,at max gross
0.2,72,50.1,-1.437125749,
0.4,74,49.8,-1.485943775,
0.6,76,49.4,-1.538461538,
0.8,78,48.9,-1.595092025,
1,80,48.2,-1.659751037,
1.2,83,47.4,-1.751054852,
1.4,85,46.5,-1.827956989,
1.6,86,46.1,-1.865509761,
1.7,87,45.6,-1.907894737,
1.9,88,45.1,-1.951219512,
2.1,89,44.6,-1.995515695,
2.3,90,44,-2.045454545,
2.5,91,43.4,-2.096774194,
2.7,92,42.8,-2.14953271,
2.9,94,42.2,-2.227488152,
3.1,95,41.5,-2.289156627,
3.3,96,40.8,-2.352941176,
3.5,97,40.1,-2.418952618,
3.7,98,39.3,-2.493638677,
3.9,100,38.6,-2.590673575,
4.1,101,37.9,-2.664907652,
4.3,102,37.1,-2.749326146,
4.5,103,36.3,-2.837465565,
4.7,104,35.6,-2.921348315,
4.9,106,34.8,-3.045977011,
5.1,107,33.9,-3.156342183,
5.2,108,33.1,-3.262839879,
5.4,110,32.3,-3.405572755,
5.6,111,31.3,-3.546325879,
5.8,112,30.8,-3.636363636,
6,114,30.4,-3.75,
6.2,115,30,-3.833333333,
6.4,116,29.6,-3.918918919,
6.6,118,29.1,-4.054982818,
6.8,119,28.7,-4.146341463,
7,121,28.3,-4.275618375,
7.2,122,27.9,-4.372759857,
7.4,124,27.4,-4.525547445,
7.6,125,27,-4.62962963,
7.8,127,26.6,-4.77443609,
8,128,26,-4.923076923,
