MC_kts,Spd_kts,LD,,
0,68,54.4,,at max gross
0.2,70,54.3,,
0.4,72,54,,
0.6,74,53.5,,
0.8,76,52.8,,
1,77,52,,
1.2,79,51.1,,
1.4,82,50,,
1.6,84,48.8,,
1.7,86,47.7,,
1.9,88,46.7,,
2.1,89,45.8,,
2.3,91,45,,
2.5,82,44.2,,
2.7,94,43.4,,
2.9,95,42.7,,
3.1,96,42,,
3.3,97,41.3,,
3.5,98,40.6,,
3.7,99,40,,
3.9,100,39.3,,
4.1,102,38.7,,
4.3,103,38,,
4.5,104,37.4,,
4.7,105,36.8,,
4.9,106,36.2,,
5.1,107,35.6,,
5.2,108,35,,
5.4,109,34.4,,
5.6,110,33.9,,
5.8,111,33.3,,
6,112,32.7,,
6.2,114,31.6,,
6.4,116,30.7,,
6.6,118,29.8,,
6.8,120,29.1,,
7,122,28.4,,
7.2,124,27.7,,
7.4,126,27.1,,
7.6,127,26.6,,
7.8,129,26.1,,
8,130,25.6,,
