MC_kts,Spd_kts,LD,sinkrate_kts,
0,69,43.2,-1.597222222,at max gross
0.2,71,43.1,-1.647331787,
0.4,73,42.9,-1.701631702,
0.6,75,42.7,-1.756440281,
0.8,76,42.3,-1.796690307,
1,78,41.8,-1.866028708,
1.2,80,41.4,-1.93236715,
1.4,82,40.8,-2.009803922,
1.6,83,40.2,-2.064676617,
1.7,85,39.6,-2.146464646,
1.9,86,39,-2.205128205,
2.1,88,38.4,-2.291666667,
2.3,89,37.8,-2.354497354,
2.5,91,37.1,-2.452830189,
2.7,92,36.5,-2.520547945,
2.9,94,35.9,-2.618384401,
3.1,95,35.2,-2.698863636,
3.3,97,34.6,-2.803468208,
3.5,98,34.2,-2.865497076,
3.7,99,33.8,-2.928994083,
3.9,100,33.4,-2.994011976,
4.1,100.5,33,-3.045454545,
4.3,101,32.7,-3.088685015,
4.5,102,32.4,-3.148148148,
4.7,103,32.1,-3.208722741,
4.9,103.5,31.8,-3.254716981,
5.1,104,31.5,-3.301587302,
5.2,104.5,31.2,-3.349358974,
5.4,105,31,-3.387096774,
5.6,105.5,30.7,-3.436482085,
5.8,106,30.5,-3.475409836,
6,107,30.2,-3.543046358,
