MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,57,51.3,-1.117,at max gross
0.2,57,51.3,-1.117,
0.4,57,51.3,-1.117,
0.6,57,51.3,-1.117,
0.8,57,51.3,-1.117,
1.0,57,51.3,-1.117,
1.2,57,51.3,-1.117,
1.4,57,51.3,-1.117,
1.6,57,51.3,-1.117,
1.8,57,51.3,-1.117,
2.0,57,51.3,-1.117,
2.2,57,51.3,-1.117,
2.4,57,51.3,-1.117,
2.6,57,51.3,-1.117,
2.8,57,51.3,-1.117,
3.0,57,51.3,-1.117,
3.2,57,51.3,-1.117,
3.4,57,51.3,-1.117,
3.6,57,51.3,-1.117,
3.8,57,51.3,-1.117,
4.0,57,51.3,-1.117,
4.2,57,51.3,-1.117,
4.4,57,51.3,-1.117,
4.6,57,51.3,-1.117,
4.8,57,51.3,-1.117,
5.0,57,51.3,-1.117,
5.2,57,51.3,-1.117,
5.4,57,51.3,-1.117,
5.6,57,51.3,-1.117,
5.8,57,51.3,-1.117,
6.0,57,51.3,-1.117,
6.2,57,51.3,-1.117,
6.4,57,51.3,-1.117,
6.6,57,51.3,-1.117,
6.8,57,51.3,-1.117,
7.0,57,51.3,-1.117,
7.2,57,51.3,-1.117,
7.4,57,51.3,-1.117,
7.6,57,51.3,-1.117,
7.8,57,51.3,-1.117,
8.0,57,51.3,-1.117,
