MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,62,51.9,-1.197,at max gross
0.2,62,51.9,-1.197,
0.4,62,51.9,-1.197,
0.6,62,51.9,-1.197,
0.8,62,51.9,-1.197,
1.0,62,51.9,-1.197,
1.2,62,51.9,-1.197,
1.4,62,51.9,-1.197,
1.6,62,51.9,-1.197,
1.8,62,51.9,-1.197,
2.0,62,51.9,-1.197,
2.2,62,51.9,-1.197,
2.4,62,51.9,-1.197,
2.6,62,51.9,-1.197,
2.8,62,51.9,-1.197,
3.0,62,51.9,-1.197,
3.2,62,51.9,-1.197,
3.4,62,51.9,-1.197,
3.6,62,51.9,-1.197,
3.8,62,51.9,-1.197,
4.0,62,51.9,-1.197,
4.2,62,51.9,-1.197,
4.4,62,51.9,-1.197,
4.6,62,51.9,-1.197,
4.8,62,51.9,-1.197,
5.0,62,51.9,-1.197,
5.2,62,51.9,-1.197,
5.4,62,51.9,-1.197,
5.6,62,51.9,-1.197,
5.8,62,51.9,-1.197,
6.0,62,51.9,-1.197,
6.2,62,51.9,-1.197,
6.4,62,51.9,-1.197,
6.6,62,51.9,-1.197,
6.8,62,51.9,-1.197,
7.0,62,51.9,-1.197,
7.2,62,51.9,-1.197,
7.4,62,51.9,-1.197,
7.6,62,51.9,-1.197,
7.8,62,51.9,-1.197,
8.0,62,51.9,-1.197,
