MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,42,27.4,-1.515,at max gross
0.2,42,27.4,-1.515,
0.4,42,27.4,-1.515,
0.6,42,27.4,-1.515,
0.8,42,27.4,-1.515,
1.0,42,27.4,-1.515,
1.2,42,27.4,-1.515,
1.4,42,27.4,-1.515,
1.6,42,27.4,-1.515,
1.8,42,27.4,-1.515,
2.0,42,27.4,-1.515,
2.2,42,27.4,-1.515,
2.4,42,27.4,-1.515,
2.6,42,27.4,-1.515,
2.8,42,27.4,-1.515,
3.0,42,27.4,-1.515,
3.2,42,27.4,-1.515,
3.4,42,27.4,-1.515,
3.6,42,27.4,-1.515,
3.8,42,27.4,-1.515,
4.0,42,27.4,-1.515,
4.2,42,27.4,-1.515,
4.4,42,27.4,-1.515,
4.6,42,27.4,-1.515,
4.8,42,27.4,-1.515,
5.0,42,27.4,-1.515,
5.2,42,27.4,-1.515,
5.4,42,27.4,-1.515,
5.6,42,27.4,-1.515,
5.8,42,27.4,-1.515,
6.0,42,27.4,-1.515,
6.2,42,27.4,-1.515,
6.4,42,27.4,-1.515,
6.6,42,27.4,-1.515,
6.8,42,27.4,-1.515,
7.0,42,27.4,-1.515,
7.2,42,27.4,-1.515,
7.4,42,27.4,-1.515,
7.6,42,27.4,-1.515,
7.8,42,27.4,-1.515,
8.0,42,27.4,-1.515,
