MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,47,37.0,-1.271,at max gross
0.2,47,37.0,-1.271,
0.4,47,37.0,-1.271,
0.6,47,37.0,-1.271,
0.8,47,37.0,-1.271,
1.0,47,37.0,-1.271,
1.2,47,37.0,-1.271,
1.4,47,37.0,-1.271,
1.6,47,37.0,-1.271,
1.8,47,37.0,-1.271,
2.0,47,37.0,-1.271,
2.2,47,37.0,-1.271,
2.4,47,37.0,-1.271,
2.6,47,37.0,-1.271,
2.8,47,37.0,-1.271,
3.0,47,37.0,-1.271,
3.2,47,37.0,-1.271,
3.4,47,37.0,-1.271,
3.6,47,37.0,-1.271,
3.8,47,37.0,-1.271,
4.0,47,37.0,-1.271,
4.2,47,37.0,-1.271,
4.4,47,37.0,-1.271,
4.6,47,37.0,-1.271,
4.8,47,37.0,-1.271,
5.0,47,37.0,-1.271,
5.2,47,37.0,-1.271,
5.4,47,37.0,-1.271,
5.6,47,37.0,-1.271,
5.8,47,37.0,-1.271,
6.0,47,37.0,-1.271,
6.2,47,37.0,-1.271,
6.4,47,37.0,-1.271,
6.6,47,37.0,-1.271,
6.8,47,37.0,-1.271,
7.0,47,37.0,-1.271,
7.2,47,37.0,-1.271,
7.4,47,37.0,-1.271,
7.6,47,37.0,-1.271,
7.8,47,37.0,-1.271,
8.0,47,37.0,-1.271,
