MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,53,49.3,-1.084,at max gross
0.2,53,49.3,-1.084,
0.4,53,49.3,-1.084,
0.6,53,49.3,-1.084,
0.8,53,49.3,-1.084,
1.0,53,49.3,-1.084,
1.2,53,49.3,-1.084,
1.4,53,49.3,-1.084,
1.6,53,49.3,-1.084,
1.8,53,49.3,-1.084,
2.0,53,49.3,-1.084,
2.2,53,49.3,-1.084,
2.4,53,49.3,-1.084,
2.6,53,49.3,-1.084,
2.8,53,49.3,-1.084,
3.0,53,49.3,-1.084,
3.2,53,49.3,-1.084,
3.4,53,49.3,-1.084,
3.6,53,49.3,-1.084,
3.8,53,49.3,-1.084,
4.0,53,49.3,-1.084,
4.2,53,49.3,-1.084,
4.4,53,49.3,-1.084,
4.6,53,49.3,-1.084,
4.8,53,49.3,-1.084,
5.0,53,49.3,-1.084,
5.2,53,49.3,-1.084,
5.4,53,49.3,-1.084,
5.6,53,49.3,-1.084,
5.8,53,49.3,-1.084,
6.0,53,49.3,-1.084,
6.2,53,49.3,-1.084,
6.4,53,49.3,-1.084,
6.6,53,49.3,-1.084,
6.8,53,49.3,-1.084,
7.0,53,49.3,-1.084,
7.2,53,49.3,-1.084,
7.4,53,49.3,-1.084,
7.6,53,49.3,-1.084,
7.8,53,49.3,-1.084,
8.0,53,49.3,-1.084,
