MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,48,27.8,-1.711,at max gross
0.2,48,27.8,-1.711,
0.4,48,27.8,-1.711,
0.6,48,27.8,-1.711,
0.8,48,27.8,-1.711,
1.0,48,27.8,-1.711,
1.2,48,27.8,-1.711,
1.4,48,27.8,-1.711,
1.6,48,27.8,-1.711,
1.8,48,27.8,-1.711,
2.0,48,27.8,-1.711,
2.2,48,27.8,-1.711,
2.4,48,27.8,-1.711,
2.6,48,27.8,-1.711,
2.8,48,27.8,-1.711,
3.0,48,27.8,-1.711,
3.2,48,27.8,-1.711,
3.4,48,27.8,-1.711,
3.6,48,27.8,-1.711,
3.8,48,27.8,-1.711,
4.0,48,27.8,-1.711,
4.2,48,27.8,-1.711,
4.4,48,27.8,-1.711,
4.6,48,27.8,-1.711,
4.8,48,27.8,-1.711,
5.0,48,27.8,-1.711,
5.2,48,27.8,-1.711,
5.4,48,27.8,-1.711,
5.6,48,27.8,-1.711,
5.8,48,27.8,-1.711,
6.0,48,27.8,-1.711,
6.2,48,27.8,-1.711,
6.4,48,27.8,-1.711,
6.6,48,27.8,-1.711,
6.8,48,27.8,-1.711,
7.0,48,27.8,-1.711,
7.2,48,27.8,-1.711,
7.4,48,27.8,-1.711,
7.6,48,27.8,-1.711,
7.8,48,27.8,-1.711,
8.0,48,27.8,-1.711,
