MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,53,40.6,-1.315,at max gross
0.2,53,40.6,-1.315,
0.4,53,40.6,-1.315,
0.6,53,40.6,-1.315,
0.8,53,40.6,-1.315,
1.0,53,40.6,-1.315,
1.2,53,40.6,-1.315,
1.4,53,40.6,-1.315,
1.6,53,40.6,-1.315,
1.8,53,40.6,-1.315,
2.0,53,40.6,-1.315,
2.2,53,40.6,-1.315,
2.4,53,40.6,-1.315,
2.6,53,40.6,-1.315,
2.8,53,40.6,-1.315,
3.0,53,40.6,-1.315,
3.2,53,40.6,-1.315,
3.4,53,40.6,-1.315,
3.6,53,40.6,-1.315,
3.8,53,40.6,-1.315,
4.0,53,40.6,-1.315,
4.2,53,40.6,-1.315,
4.4,53,40.6,-1.315,
4.6,53,40.6,-1.315,
4.8,53,40.6,-1.315,
5.0,53,40.6,-1.315,
5.2,53,40.6,-1.315,
5.4,53,40.6,-1.315,
5.6,53,40.6,-1.315,
5.8,53,40.6,-1.315,
6.0,53,40.6,-1.315,
6.2,53,40.6,-1.315,
6.4,53,40.6,-1.315,
6.6,53,40.6,-1.315,
6.8,53,40.6,-1.315,
7.0,53,40.6,-1.315,
7.2,53,40.6,-1.315,
7.4,53,40.6,-1.315,
7.6,53,40.6,-1.315,
7.8,53,40.6,-1.315,
8.0,53,40.6,-1.315,
