MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,55,50.7,-1.086,at max gross
0.2,55,50.7,-1.086,
0.4,55,50.7,-1.086,
0.6,55,50.7,-1.086,
0.8,55,50.7,-1.086,
1.0,55,50.7,-1.086,
1.2,55,50.7,-1.086,
1.4,55,50.7,-1.086,
1.6,55,50.7,-1.086,
1.8,55,50.7,-1.086,
2.0,55,50.7,-1.086,
2.2,55,50.7,-1.086,
2.4,55,50.7,-1.086,
2.6,55,50.7,-1.086,
2.8,55,50.7,-1.086,
3.0,55,50.7,-1.086,
3.2,55,50.7,-1.086,
3.4,55,50.7,-1.086,
3.6,55,50.7,-1.086,
3.8,55,50.7,-1.086,
4.0,55,50.7,-1.086,
4.2,55,50.7,-1.086,
4.4,55,50.7,-1.086,
4.6,55,50.7,-1.086,
4.8,55,50.7,-1.086,
5.0,55,50.7,-1.086,
5.2,55,50.7,-1.086,
5.4,55,50.7,-1.086,
5.6,55,50.7,-1.086,
5.8,55,50.7,-1.086,
6.0,55,50.7,-1.086,
6.2,55,50.7,-1.086,
6.4,55,50.7,-1.086,
6.6,55,50.7,-1.086,
6.8,55,50.7,-1.086,
7.0,55,50.7,-1.086,
7.2,55,50.7,-1.086,
7.4,55,50.7,-1.086,
7.6,55,50.7,-1.086,
7.8,55,50.7,-1.086,
8.0,55,50.7,-1.086,
