MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,50,45.9,-1.095,at max gross
0.2,50,45.9,-1.095,
0.4,50,45.9,-1.095,
0.6,50,45.9,-1.095,
0.8,50,45.9,-1.095,
1.0,50,45.9,-1.095,
1.2,50,45.9,-1.095,
1.4,50,45.9,-1.095,
1.6,50,45.9,-1.095,
1.8,50,45.9,-1.095,
2.0,50,45.9,-1.095,
2.2,50,45.9,-1.095,
2.4,50,45.9,-1.095,
2.6,50,45.9,-1.095,
2.8,50,45.9,-1.095,
3.0,50,45.9,-1.095,
3.2,50,45.9,-1.095,
3.4,50,45.9,-1.095,
3.6,50,45.9,-1.095,
3.8,50,45.9,-1.095,
4.0,50,45.9,-1.095,
4.2,50,45.9,-1.095,
4.4,50,45.9,-1.095,
4.6,50,45.9,-1.095,
4.8,50,45.9,-1.095,
5.0,50,45.9,-1.095,
5.2,50,45.9,-1.095,
5.4,50,45.9,-1.095,
5.6,50,45.9,-1.095,
5.8,50,45.9,-1.095,
6.0,50,45.9,-1.095,
6.2,50,45.9,-1.095,
6.4,50,45.9,-1.095,
6.6,50,45.9,-1.095,
6.8,50,45.9,-1.095,
7.0,50,45.9,-1.095,
7.2,50,45.9,-1.095,
7.4,50,45.9,-1.095,
7.6,50,45.9,-1.095,
7.8,50,45.9,-1.095,
8.0,50,45.9,-1.095,
