MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,52,45.4,-1.153,at max gross
0.2,52,45.4,-1.153,
0.4,52,45.4,-1.153,
0.6,52,45.4,-1.153,
0.8,52,45.4,-1.153,
1.0,52,45.4,-1.153,
1.2,52,45.4,-1.153,
1.4,52,45.4,-1.153,
1.6,52,45.4,-1.153,
1.8,52,45.4,-1.153,
2.0,52,45.4,-1.153,
2.2,52,45.4,-1.153,
2.4,52,45.4,-1.153,
2.6,52,45.4,-1.153,
2.8,52,45.4,-1.153,
3.0,52,45.4,-1.153,
3.2,52,45.4,-1.153,
3.4,52,45.4,-1.153,
3.6,52,45.4,-1.153,
3.8,52,45.4,-1.153,
4.0,52,45.4,-1.153,
4.2,52,45.4,-1.153,
4.4,52,45.4,-1.153,
4.6,52,45.4,-1.153,
4.8,52,45.4,-1.153,
5.0,52,45.4,-1.153,
5.2,52,45.4,-1.153,
5.4,52,45.4,-1.153,
5.6,52,45.4,-1.153,
5.8,52,45.4,-1.153,
6.0,52,45.4,-1.153,
6.2,52,45.4,-1.153,
6.4,52,45.4,-1.153,
6.6,52,45.4,-1.153,
6.8,52,45.4,-1.153,
7.0,52,45.4,-1.153,
7.2,52,45.4,-1.153,
7.4,52,45.4,-1.153,
7.6,52,45.4,-1.153,
7.8,52,45.4,-1.153,
8.0,52,45.4,-1.153,
