MC_kts,Spd_kts,LD,sinkrate_kts,
0,68,42.5,-1.6,at max gross
0.2,69,42.4,-1.627358491,
0.4,70,42.3,-1.654846336,
0.6,72,42.1,-1.710213777,
0.8,73,41.9,-1.742243437,
1,74,41.6,-1.778846154,
1.2,75,41.2,-1.82038835,
1.4,76,40.8,-1.862745098,
1.6,77,40.4,-1.905940594,
1.7,78,39.9,-1.954887218,
1.9,79,39.4,-2.005076142,
2.1,80,38.9,-2.05655527,
2.3,81,38.4,-2.109375,
2.5,82,37.8,-2.169312169,
2.7,83,37.3,-2.225201072,
2.9,84,36.7,-2.288828338,
3.1,85,36.1,-2.354570637,
3.3,86,35.6,-2.415730337,
3.5,87,35,-2.485714286,
3.7,88,34.4,-2.558139535,
3.9,89,33.8,-2.633136095,
4.1,90,33.3,-2.702702703,
4.3,91,32.7,-2.782874618,
4.5,92,32.1,-2.866043614,
4.7,93,31.6,-2.943037975,
4.9,94,31.1,-3.022508039,
5.1,95,30.5,-3.114754098,
5.2,96,30,-3.2,
5.4,97,29.5,-3.288135593,
5.6,98,29,-3.379310345,
5.8,99,28.5,-3.473684211,
6,100,28,-3.571428571,
