MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,32,17.1,-1.890,at max gross
0.2,32,17.1,-1.890,
0.4,32,17.1,-1.890,
0.6,32,17.1,-1.890,
0.8,32,17.1,-1.890,
1.0,32,17.1,-1.890,
1.2,32,17.1,-1.890,
1.4,32,17.1,-1.890,
1.6,32,17.1,-1.890,
1.8,32,17.1,-1.890,
2.0,32,17.1,-1.890,
2.2,32,17.1,-1.890,
2.4,32,17.1,-1.890,
2.6,32,17.1,-1.890,
2.8,32,17.1,-1.890,
3.0,32,17.1,-1.890,
3.2,32,17.1,-1.890,
3.4,32,17.1,-1.890,
3.6,32,17.1,-1.890,
3.8,32,17.1,-1.890,
4.0,32,17.1,-1.890,
4.2,32,17.1,-1.890,
4.4,32,17.1,-1.890,
4.6,32,17.1,-1.890,
4.8,32,17.1,-1.890,
5.0,32,17.1,-1.890,
5.2,32,17.1,-1.890,
5.4,32,17.1,-1.890,
5.6,32,17.1,-1.890,
5.8,32,17.1,-1.890,
6.0,32,17.1,-1.890,
6.2,32,17.1,-1.890,
6.4,32,17.1,-1.890,
6.6,32,17.1,-1.890,
6.8,32,17.1,-1.890,
7.0,32,17.1,-1.890,
7.2,32,17.1,-1.890,
7.4,32,17.1,-1.890,
7.6,32,17.1,-1.890,
7.8,32,17.1,-1.890,
8.0,32,17.1,-1.890,
