MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,55,59.7,-0.914,at max gross
0.2,55,59.7,-0.914,
0.4,55,59.7,-0.914,
0.6,55,59.7,-0.914,
0.8,55,59.7,-0.914,
1.0,55,59.7,-0.914,
1.2,55,59.7,-0.914,
1.4,55,59.7,-0.914,
1.6,55,59.7,-0.914,
1.8,55,59.7,-0.914,
2.0,55,59.7,-0.914,
2.2,55,59.7,-0.914,
2.4,55,59.7,-0.914,
2.6,55,59.7,-0.914,
2.8,55,59.7,-0.914,
3.0,55,59.7,-0.914,
3.2,55,59.7,-0.914,
3.4,55,59.7,-0.914,
3.6,55,59.7,-0.914,
3.8,55,59.7,-0.914,
4.0,55,59.7,-0.914,
4.2,55,59.7,-0.914,
4.4,55,59.7,-0.914,
4.6,55,59.7,-0.914,
4.8,55,59.7,-0.914,
5.0,55,59.7,-0.914,
5.2,55,59.7,-0.914,
5.4,55,59.7,-0.914,
5.6,55,59.7,-0.914,
5.8,55,59.7,-0.914,
6.0,55,59.7,-0.914,
6.2,55,59.7,-0.914,
6.4,55,59.7,-0.914,
6.6,55,59.7,-0.914,
6.8,55,59.7,-0.914,
7.0,55,59.7,-0.914,
7.2,55,59.7,-0.914,
7.4,55,59.7,-0.914,
7.6,55,59.7,-0.914,
7.8,55,59.7,-0.914,
8.0,55,59.7,-0.914,
