MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,38,27.2,-1.408,at max gross
0.2,38,27.2,-1.408,
0.4,38,27.2,-1.408,
0.6,38,27.2,-1.408,
0.8,38,27.2,-1.408,
1.0,38,27.2,-1.408,
1.2,38,27.2,-1.408,
1.4,38,27.2,-1.408,
1.6,38,27.2,-1.408,
1.8,38,27.2,-1.408,
2.0,38,27.2,-1.408,
2.2,38,27.2,-1.408,
2.4,38,27.2,-1.408,
2.6,38,27.2,-1.408,
2.8,38,27.2,-1.408,
3.0,38,27.2,-1.408,
3.2,38,27.2,-1.408,
3.4,38,27.2,-1.408,
3.6,38,27.2,-1.408,
3.8,38,27.2,-1.408,
4.0,38,27.2,-1.408,
4.2,38,27.2,-1.408,
4.4,38,27.2,-1.408,
4.6,38,27.2,-1.408,
4.8,38,27.2,-1.408,
5.0,38,27.2,-1.408,
5.2,38,27.2,-1.408,
5.4,38,27.2,-1.408,
5.6,38,27.2,-1.408,
5.8,38,27.2,-1.408,
6.0,38,27.2,-1.408,
6.2,38,27.2,-1.408,
6.4,38,27.2,-1.408,
6.6,38,27.2,-1.408,
6.8,38,27.2,-1.408,
7.0,38,27.2,-1.408,
7.2,38,27.2,-1.408,
7.4,38,27.2,-1.408,
7.6,38,27.2,-1.408,
7.8,38,27.2,-1.408,
8.0,38,27.2,-1.408,
