MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,48,37.1,-1.280,at max gross
0.2,48,37.1,-1.280,
0.4,48,37.1,-1.280,
0.6,48,37.1,-1.280,
0.8,48,37.1,-1.280,
1.0,48,37.1,-1.280,
1.2,48,37.1,-1.280,
1.4,48,37.1,-1.280,
1.6,48,37.1,-1.280,
1.8,48,37.1,-1.280,
2.0,48,37.1,-1.280,
2.2,48,37.1,-1.280,
2.4,48,37.1,-1.280,
2.6,48,37.1,-1.280,
2.8,48,37.1,-1.280,
3.0,48,37.1,-1.280,
3.2,48,37.1,-1.280,
3.4,48,37.1,-1.280,
3.6,48,37.1,-1.280,
3.8,48,37.1,-1.280,
4.0,48,37.1,-1.280,
4.2,48,37.1,-1.280,
4.4,48,37.1,-1.280,
4.6,48,37.1,-1.280,
4.8,48,37.1,-1.280,
5.0,48,37.1,-1.280,
5.2,48,37.1,-1.280,
5.4,48,37.1,-1.280,
5.6,48,37.1,-1.280,
5.8,48,37.1,-1.280,
6.0,48,37.1,-1.280,
6.2,48,37.1,-1.280,
6.4,48,37.1,-1.280,
6.6,48,37.1,-1.280,
6.8,48,37.1,-1.280,
7.0,48,37.1,-1.280,
7.2,48,37.1,-1.280,
7.4,48,37.1,-1.280,
7.6,48,37.1,-1.280,
7.8,48,37.1,-1.280,
8.0,48,37.1,-1.280,
