MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,57,39.8,-1.439,at max gross
0.2,57,39.8,-1.439,
0.4,57,39.8,-1.439,
0.6,57,39.8,-1.439,
0.8,57,39.8,-1.439,
1.0,57,39.8,-1.439,
1.2,57,39.8,-1.439,
1.4,57,39.8,-1.439,
1.6,57,39.8,-1.439,
1.8,57,39.8,-1.439,
2.0,57,39.8,-1.439,
2.2,57,39.8,-1.439,
2.4,57,39.8,-1.439,
2.6,57,39.8,-1.439,
2.8,57,39.8,-1.439,
3.0,57,39.8,-1.439,
3.2,57,39.8,-1.439,
3.4,57,39.8,-1.439,
3.6,57,39.8,-1.439,
3.8,57,39.8,-1.439,
4.0,57,39.8,-1.439,
4.2,57,39.8,-1.439,
4.4,57,39.8,-1.439,
4.6,57,39.8,-1.439,
4.8,57,39.8,-1.439,
5.0,57,39.8,-1.439,
5.2,57,39.8,-1.439,
5.4,57,39.8,-1.439,
5.6,57,39.8,-1.439,
5.8,57,39.8,-1.439,
6.0,57,39.8,-1.439,
6.2,57,39.8,-1.439,
6.4,57,39.8,-1.439,
6.6,57,39.8,-1.439,
6.8,57,39.8,-1.439,
7.0,57,39.8,-1.439,
7.2,57,39.8,-1.439,
7.4,57,39.8,-1.439,
7.6,57,39.8,-1.439,
7.8,57,39.8,-1.439,
8.0,57,39.8,-1.439,
