MC_kts,Spd_kts,LD,sinkrate_kts,
0,48,37.2,-1.290322581,
0.2,50,37.1,-1.347708895,dry
0.4,52,36.8,-1.413043478,
0.6,54,36.4,-1.483516484,
0.8,56,35.8,-1.56424581,
1,57,35.2,-1.619318182,
1.2,59,34.5,-1.710144928,
1.4,61,33.9,-1.799410029,
1.6,62,33.3,-1.861861862,
1.7,63,32.7,-1.926605505,
1.9,64,32.2,-1.98757764,
2.1,65,31.7,-2.050473186,
2.3,67,30.9,-2.16828479,
2.5,68,30.3,-2.244224422,
2.7,69,29.7,-2.323232323,
2.9,71,29.1,-2.439862543,
3.1,72,28.6,-2.517482517,
3.3,73,28.1,-2.597864769,
3.5,74,27.6,-2.68115942,
3.7,74.5,27.2,-2.738970588,
3.9,75,26.7,-2.808988764,
4.1,76,26.3,-2.88973384,
4.3,77,25.9,-2.972972973,
4.5,78,25.5,-3.058823529,
4.7,79,25.1,-3.147410359,
4.9,79.5,24.7,-3.218623482,
5.1,80,24.3,-3.29218107,
5.2,81,24,-3.375,
5.4,82,23.6,-3.474576271,
5.6,83.5,23.2,-3.599137931,
5.8,84,22.8,-3.684210526,
6,85,22.4,-3.794642857,
6.2,85.5,22.1,-3.868778281,
6.4,86,21.7,-3.963133641,
6.6,87,21.4,-4.065420561,
6.8,88,21.1,-4.170616114,
