MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,44,32.2,-1.377,at max gross
0.2,44,32.2,-1.377,
0.4,44,32.2,-1.377,
0.6,44,32.2,-1.377,
0.8,44,32.2,-1.377,
1.0,44,32.2,-1.377,
1.2,44,32.2,-1.377,
1.4,44,32.2,-1.377,
1.6,44,32.2,-1.377,
1.8,44,32.2,-1.377,
2.0,44,32.2,-1.377,
2.2,44,32.2,-1.377,
2.4,44,32.2,-1.377,
2.6,44,32.2,-1.377,
2.8,44,32.2,-1.377,
3.0,44,32.2,-1.377,
3.2,44,32.2,-1.377,
3.4,44,32.2,-1.377,
3.6,44,32.2,-1.377,
3.8,44,32.2,-1.377,
4.0,44,32.2,-1.377,
4.2,44,32.2,-1.377,
4.4,44,32.2,-1.377,
4.6,44,32.2,-1.377,
4.8,44,32.2,-1.377,
5.0,44,32.2,-1.377,
5.2,44,32.2,-1.377,
5.4,44,32.2,-1.377,
5.6,44,32.2,-1.377,
5.8,44,32.2,-1.377,
6.0,44,32.2,-1.377,
6.2,44,32.2,-1.377,
6.4,44,32.2,-1.377,
6.6,44,32.2,-1.377,
6.8,44,32.2,-1.377,
7.0,44,32.2,-1.377,
7.2,44,32.2,-1.377,
7.4,44,32.2,-1.377,
7.6,44,32.2,-1.377,
7.8,44,32.2,-1.377,
8.0,44,32.2,-1.377,
