MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,49,25.0,-1.968,at max gross
0.2,49,25.0,-1.968,
0.4,49,25.0,-1.968,
0.6,49,25.0,-1.968,
0.8,49,25.0,-1.968,
1.0,49,25.0,-1.968,
1.2,49,25.0,-1.968,
1.4,49,25.0,-1.968,
1.6,49,25.0,-1.968,
1.8,49,25.0,-1.968,
2.0,49,25.0,-1.968,
2.2,49,25.0,-1.968,
2.4,49,25.0,-1.968,
2.6,49,25.0,-1.968,
2.8,49,25.0,-1.968,
3.0,49,25.0,-1.968,
3.2,49,25.0,-1.968,
3.4,49,25.0,-1.968,
3.6,49,25.0,-1.968,
3.8,49,25.0,-1.968,
4.0,49,25.0,-1.968,
4.2,49,25.0,-1.968,
4.4,49,25.0,-1.968,
4.6,49,25.0,-1.968,
4.8,49,25.0,-1.968,
5.0,49,25.0,-1.968,
5.2,49,25.0,-1.968,
5.4,49,25.0,-1.968,
5.6,49,25.0,-1.968,
5.8,49,25.0,-1.968,
6.0,49,25.0,-1.968,
6.2,49,25.0,-1.968,
6.4,49,25.0,-1.968,
6.6,49,25.0,-1.968,
6.8,49,25.0,-1.968,
7.0,49,25.0,-1.968,
7.2,49,25.0,-1.968,
7.4,49,25.0,-1.968,
7.6,49,25.0,-1.968,
7.8,49,25.0,-1.968,
8.0,49,25.0,-1.968,
