MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,33,8.3,-4.020,at max gross
0.2,33,8.3,-4.020,
0.4,33,8.3,-4.020,
0.6,33,8.3,-4.020,
0.8,33,8.3,-4.020,
1.0,33,8.3,-4.020,
1.2,33,8.3,-4.020,
1.4,33,8.3,-4.020,
1.6,33,8.3,-4.020,
1.8,33,8.3,-4.020,
2.0,33,8.3,-4.020,
2.2,33,8.3,-4.020,
2.4,33,8.3,-4.020,
2.6,33,8.3,-4.020,
2.8,33,8.3,-4.020,
3.0,33,8.3,-4.020,
3.2,33,8.3,-4.020,
3.4,33,8.3,-4.020,
3.6,33,8.3,-4.020,
3.8,33,8.3,-4.020,
4.0,33,8.3,-4.020,
4.2,33,8.3,-4.020,
4.4,33,8.3,-4.020,
4.6,33,8.3,-4.020,
4.8,33,8.3,-4.020,
5.0,33,8.3,-4.020,
5.2,33,8.3,-4.020,
5.4,33,8.3,-4.020,
5.6,33,8.3,-4.020,
5.8,33,8.3,-4.020,
6.0,33,8.3,-4.020,
6.2,33,8.3,-4.020,
6.4,33,8.3,-4.020,
6.6,33,8.3,-4.020,
6.8,33,8.3,-4.020,
7.0,33,8.3,-4.020,
7.2,33,8.3,-4.020,
7.4,33,8.3,-4.020,
7.6,33,8.3,-4.020,
7.8,33,8.3,-4.020,
8.0,33,8.3,-4.020,
