MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,42,22.2,-1.901,at max gross
0.2,42,22.2,-1.901,
0.4,42,22.2,-1.901,
0.6,42,22.2,-1.901,
0.8,42,22.2,-1.901,
1.0,42,22.2,-1.901,
1.2,42,22.2,-1.901,
1.4,42,22.2,-1.901,
1.6,42,22.2,-1.901,
1.8,42,22.2,-1.901,
2.0,42,22.2,-1.901,
2.2,42,22.2,-1.901,
2.4,42,22.2,-1.901,
2.6,42,22.2,-1.901,
2.8,42,22.2,-1.901,
3.0,42,22.2,-1.901,
3.2,42,22.2,-1.901,
3.4,42,22.2,-1.901,
3.6,42,22.2,-1.901,
3.8,42,22.2,-1.901,
4.0,42,22.2,-1.901,
4.2,42,22.2,-1.901,
4.4,42,22.2,-1.901,
4.6,42,22.2,-1.901,
4.8,42,22.2,-1.901,
5.0,42,22.2,-1.901,
5.2,42,22.2,-1.901,
5.4,42,22.2,-1.901,
5.6,42,22.2,-1.901,
5.8,42,22.2,-1.901,
6.0,42,22.2,-1.901,
6.2,42,22.2,-1.901,
6.4,42,22.2,-1.901,
6.6,42,22.2,-1.901,
6.8,42,22.2,-1.901,
7.0,42,22.2,-1.901,
7.2,42,22.2,-1.901,
7.4,42,22.2,-1.901,
7.6,42,22.2,-1.901,
7.8,42,22.2,-1.901,
8.0,42,22.2,-1.901,
