MC_kts,Spd_kts,LD,sinkrate_kts,
0,48,37.2,1.29,
0.2,50,37.1,1.35,
0.4,52,36.8,1.41,
0.6,54,36.4,1.48,
0.8,56,35.8,1.56,
1,57,35.2,1.62,
1.2,59,34.5,1.71,
1.4,61,33.9,1.80,
1.6,62,33.3,1.86,
1.7,63,32.7,1.93,
1.9,64,32.2,1.99,
2.1,65,31.7,2.05,
2.3,67,30.9,2.17,
2.5,68,30.3,2.24,
2.7,69,29.7,2.32,
2.9,71,29.1,2.44,
3.1,72,28.6,2.52,
3.3,73,28.1,2.60,
3.5,74,27.6,2.68,
3.7,74.5,27.2,2.74,
3.9,75,26.7,2.81,
4.1,76,26.3,2.89,
4.3,77,25.9,2.97,
4.5,78,25.5,3.06,
4.7,79,25.1,3.15,
4.9,79.5,24.7,3.22,
5.1,80,24.3,3.29,
5.2,81,24,3.38,
5.4,82,23.6,3.47,
5.6,83.5,23.2,3.60,
5.8,84,22.8,3.68,
6,85,22.4,3.79,
6.2,85.5,22.1,3.87,
6.4,86,21.7,3.96,
6.6,87,21.4,4.07,
6.8,88,21.1,4.17,
