MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,56,53.1,-1.058,at max gross
0.2,56,53.1,-1.058,
0.4,56,53.1,-1.058,
0.6,56,53.1,-1.058,
0.8,56,53.1,-1.058,
1.0,56,53.1,-1.058,
1.2,56,53.1,-1.058,
1.4,56,53.1,-1.058,
1.6,56,53.1,-1.058,
1.8,56,53.1,-1.058,
2.0,56,53.1,-1.058,
2.2,56,53.1,-1.058,
2.4,56,53.1,-1.058,
2.6,56,53.1,-1.058,
2.8,56,53.1,-1.058,
3.0,56,53.1,-1.058,
3.2,56,53.1,-1.058,
3.4,56,53.1,-1.058,
3.6,56,53.1,-1.058,
3.8,56,53.1,-1.058,
4.0,56,53.1,-1.058,
4.2,56,53.1,-1.058,
4.4,56,53.1,-1.058,
4.6,56,53.1,-1.058,
4.8,56,53.1,-1.058,
5.0,56,53.1,-1.058,
5.2,56,53.1,-1.058,
5.4,56,53.1,-1.058,
5.6,56,53.1,-1.058,
5.8,56,53.1,-1.058,
6.0,56,53.1,-1.058,
6.2,56,53.1,-1.058,
6.4,56,53.1,-1.058,
6.6,56,53.1,-1.058,
6.8,56,53.1,-1.058,
7.0,56,53.1,-1.058,
7.2,56,53.1,-1.058,
7.4,56,53.1,-1.058,
7.6,56,53.1,-1.058,
7.8,56,53.1,-1.058,
8.0,56,53.1,-1.058,
