MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,63,29.8,-2.121,at max gross
0.2,63,29.8,-2.121,
0.4,63,29.8,-2.121,
0.6,63,29.8,-2.121,
0.8,63,29.8,-2.121,
1.0,63,29.8,-2.121,
1.2,63,29.8,-2.121,
1.4,63,29.8,-2.121,
1.6,63,29.8,-2.121,
1.8,63,29.8,-2.121,
2.0,63,29.8,-2.121,
2.2,63,29.8,-2.121,
2.4,63,29.8,-2.121,
2.6,63,29.8,-2.121,
2.8,63,29.8,-2.121,
3.0,63,29.8,-2.121,
3.2,63,29.8,-2.121,
3.4,63,29.8,-2.121,
3.6,63,29.8,-2.121,
3.8,63,29.8,-2.121,
4.0,63,29.8,-2.121,
4.2,63,29.8,-2.121,
4.4,63,29.8,-2.121,
4.6,63,29.8,-2.121,
4.8,63,29.8,-2.121,
5.0,63,29.8,-2.121,
5.2,63,29.8,-2.121,
5.4,63,29.8,-2.121,
5.6,63,29.8,-2.121,
5.8,63,29.8,-2.121,
6.0,63,29.8,-2.121,
6.2,63,29.8,-2.121,
6.4,63,29.8,-2.121,
6.6,63,29.8,-2.121,
6.8,63,29.8,-2.121,
7.0,63,29.8,-2.121,
7.2,63,29.8,-2.121,
7.4,63,29.8,-2.121,
7.6,63,29.8,-2.121,
7.8,63,29.8,-2.121,
8.0,63,29.8,-2.121,
