Rank,Name,Gap,Glide Gap,'-- from Glide Speed,'-- from Glide L/D,Climb Gap,Deviation Gap
1.0,821 - Mark Rebuck,'00:00,'00:00,'-00:00,'-00:00,'00:00,'00:00
2.0,2MC - Marco Raaijmakers,'00:30,'01:18,'-01:02,'02:20,'-00:11,'-2:54
3.0,95T - Trace Lewis,'01:43,'00:11,'-02:02,'02:13,'-01:22,'01:51
4.0,GJB - John Blyth,'01:48,'02:59,'-03:56,'06:55,'-00:38,'-1:27
5.0,SHM - Steve Minar,'02:10,'02:32,'-03:00,'05:32,'-00:08,'-1:24
6.0,KG - Chris Grab,'02:26,'02:45,'-00:31,'03:16,'-00:38,'-1:58
7.0,HG1 - Ryan Wood,'02:29,'02:01,'-02:31,'04:33,'-00:34,'00:26
8.0,DC1 - Davis Chappins,'03:17,'03:39,'00:31,'03:07,'-00:19,'00:04
9.0,BG1 - Bryan Gill,'05:14,'04:48,'-02:31,'07:20,'-00:06,'-1:53
10.0,107 - Cliff Jefferies,'09:34,'08:33,'05:10,'03:23,'00:39,'-1:57
11.0,TT2 - Todd Tracy,'09:43,'07:59,'02:45,'05:13,'00:27,'00:30
12.0,DSR - Dave Scott,'10:17,'08:52,'-04:23,'13:15,'-00:48,'00:37
13.0,BWL - Brian LaBorde,'10:20,'06:06,'04:33,'01:33,'-00:06,'01:56
14.0,4LT - John Beckley,'10:21,'05:11,'01:04,'04:07,'-00:34,'03:47
15.0,RET - Raymond Troppmann,'12:15,'12:27,'-00:31,'12:59,'-00:14,'-1:39
16.0,GUN - Shico figueira,'13:46,'10:32,'-00:31,'11:04,'02:03,'00:28
17.0,JD2 - Johnny Dollar,'22:38,'14:35,'04:33,'10:02,'01:34,'03:59
18.0,TA3 - Frank Paynter,'23:03,'03:51,'03:56,'-00:04,'02:54,'11:33
19.0,PB5 - Philip Bernstein,'25:20,'16:37,'-00:00,'16:37,'02:51,'03:26
20.0,2PK - Peter Kelly,'27:12,'13:16,'08:27,'04:48,'02:09,'07:04
21.0,ET2 - eric t,'38:34,'29:02,'06:26,'22:35,'01:32,'03:25
