Rank,Name,Task Speed (km/h),Task Time,Gap
1.0,JBD - Juan Darrain,104.26,1:33:19,'00:00
2.0,DB2 - Duane Beck,100.12,1:32:16,'03:23
3.0,JU - John Usher,99.08,1:36:37,'04:27
4.0,HG1 - Ryan Wood,98.85,1:48:50,'05:17
5.0,DAS - Salido Diego,97.41,1:35:12,'05:48
6.0,51 - Tom Johnston,96.11,1:37:11,'07:03
7.0,OOW - Patrick McMahon,96.06,1:47:36,'07:54
8.0,CM2 - Carlos Mikelsen,94.95,1:34:03,'07:46
9.0,KG - Chris Grab,94.48,1:37:12,'08:27
10.0,JM - Brian Camps,94.34,1:31:39,'08:02
11.0,TA3 - Frank Paynter,93.87,1:52:27,'10:29
12.0,AC6 - Andrzej Cholewinski,92.61,1:51:28,'11:39
13.0,F1L - Phil Stang,91.85,1:48:35,'12:04
14.0,RET - Raymond Troppmann,91.67,1:46:46,'12:00
15.0,JS1 - Joerg Stieber,91.55,1:34:53,'10:40
16.0,XS - Sasha Pejic,91.46,1:30:00,'10:09
17.0,EX - Tyler P,90.63,1:35:01,'11:27
18.0,FHV - Federico Valle,89.69,1:39:24,'12:51
19.0,S1 - Irek Sek,89.42,1:30:33,'11:49
20.0,TL8 - Thomas Link,85.77,2:20:18,'23:30
21.0,HN1 - Harry N,84.42,1:42:15,'17:57
22.0,A11 - Cathy Keller,83.83,1:58:15,'21:37
23.0,BOT - Tim Meijome,83.76,1:38:45,'17:51
24.0,058 - Clark Kent,83.05,1:57:02,'22:10
25.0,OG - Kirk Bittner,82.91,1:35:03,'17:49
26.0,MNJ - Jim Mason,82.51,2:32:52,'30:13
27.0,TZ - Bill T,79.23,1:41:48,'22:26
28.0,SAS - Steve Snyder,75.64,1:37:26,'24:20
29.0,GR2 - Nick Meijer,70.02,1:57:05,'35:20
30.0,ET2 - eric t,66.1,1:50:19,'36:42
